title,date,section,summary
"정유라 ""난 6개월 만에 중졸됐는데…조국 아들은 2년 걸려""",2024.08.08. 오후 1:05,100,"더불어민주당이 '채상병 특검법'을 세번째로 발의했습니다. 국민의힘은 이를 비판하며, 특검법에 추가된 의혹들을 지적했습니다. 특검 추천권은 민주당 1명, 비교섭단체 1명으로 정해졌고, 국민의힘 대표가 제안한 제3자 추천안은 반영되지 않았습니다. 이에 대해 김종혁 최고위원은 당내 반대 의원들이 많다며 민주당의 의도를 비판했습니다."
"與김상훈 ""영수회담 전 여야 대표 회담 먼저…금투세 폐지는 당론""",2024.08.08. 오전 11:11,100,"한동훈 국민의힘 대표가 금융투자소득세 폐지를 주장하며 더불어민주당의 프레임을 비판했습니다. 금투세는 2025년 1월 시행 예정이며, 부자들에 대한 세금이라는 주장에 대해 사모펀드를 예시로 들어 반박했습니다. 또한, 취약계층에 전기요금 1만5000원 추가 지원을 발표했으며, 이에 대한 이견을 보인 추경호 원내대표는 최고위원회의에 불참했습니다."
"민주당 '채상병 특검법' 또 발의…장동혁 ""더 허접한 법안"" 비난",2024.08.08. 오후 1:38,100,김상훈 국민의힘 의원은 더불어민주당 대표 직무대행 겸 원내대표의 영수회담 제안에 대해 여야 당 대표 회담이 선행돼야 한다고 말했습니다. 민주당이 거부권 행사 중단을 요구한 것에 대해 국민들에게 폐를 끼치는 법안이 통과된다면 거부권을 행사해야 한다고 강조했습니다. 또한 금투세 폐지는 국내 주식시장을 견인할 수 있는 큰 시그널이라며 부자 감세 논리를 부정하고 협의를 통해 폐지하는 것이 맞다고 밝혔습니다.
"[일문일답]이복현 ""두산, 정정신고서 부족시 횟수 제한없이 정정요구""",2024.08.08. 오후 1:45,101,"일본의 엔 캐리 트레이드가 금융시장에 불안을 불러일으키고 있습니다. 이는 일본이 낮은 금리로 돈을 빌려 미국 등 고수익 자산에 투자해 수익을 노리는 방식으로, 최근 몇 년간 대규모로 확대되었습니다. 이에 따라 엔화 대출을 갚기 위한 투자 청산이 이뤄지고 있으며, 금융시장에 혼란을 야기할 우려가 있습니다.환율 변동에 따라 위험성이 높아진 엔 캐리 트레이드는 일본의 금리 인상으로 더욱 불안정해질 수 있습니다."
"한경협 ""노조법 개정안, 위헌 우려 크다...전면재고 필요""",2024.08.08. 오전 6:00,101,"민주당 박찬대 원내대표는 취임 100일을 맞아 여야 대립 상황에 대해 유감을 표하면서도 정부와 여당에 책임을 물었습니다. 영수회담을 강조하며 대화와 협치를 요구했고, 금투세 논란과 특검법에 대한 입장을 밝혔습니다. 특히 '제3자 추천' 방식에 대해 협상 가능성을 열어놓았습니다."
日 주식 평균 8% 보유한 버핏…추가매수 나설까,2024.08.08. 오후 1:26,101,"민병덕 의원은 PG 라이선스를 보유한 티메프의 관리감독 실패로 인해 금감원장과 공정거래위원장의 사퇴를 촉구했습니다. 티메프는 매월 150억원 이상의 수익을 올리고 있으며, 중소 온라인 가맹점의 경우 보증보험 가입이 필수이지만 대형 플랫폼은 보증보험 가입이 어려워 소비자 피해가 우려되고 있습니다. 민 의원은 온플법 등의 법적 규율이 시장 성장에 뒤처지고 있다며 PG사들과 카드사들이 피해를 공동으로 나누어야 한다고 강조했습니다."
'따릉이 폭주족' 계정 운영자 10대였다…경찰 검거,2024.08.08. 오후 1:33,102,"올해 광복절 특별사면 대상자를 가리기 위한 심사가 8일 이뤄졌습니다. 이번 대상으로는 드루킹 사건으로 징역 2년을 선고받은 김경수 전 경남도지사, 조윤선 전 청와대 정무수석 등이 포함될 예정입니다. 사면심사위는 법무부 장관과 외부 위원으로 구성되어 대통령에게 사면·복권 대상자 명단을 상신하고 대통령이 최종 결정하게 됩니다. 지난해에는 2176명에 대해 사면이 이뤄졌으며, 올해에는 여야 정치인 7명과 SK그룹 수석부회장 등이 포함됐습니다."
오늘 ‘광복절 특별사면’ 심사위…김경수·조윤선 등 거론,2024.08.08. 오전 7:43,102,인천 서부경찰서는 옛 연인을 흉기로 다치게 한 40대 남성 A씨를 추적 중입니다. B씨는 얼굴과 팔을 다치고 병원에서 치료를 받고 있지만 생명에는 지장이 없는 것으로 알려졌습니다. 경찰은 A씨의 신원을 특정하고 도주 경로를 확인한 뒤 검거에 집중하고 있습니다. 현장에 출동한 경찰은 피해자의 안정을 취하고 있으며 A씨를 잡은 뒤 범행 동기를 조사할 예정입니다.
지하주차장서 옛 연인에게 흉기 휘둘러... 40대 신원 특정,2024.08.07. 오후 6:09,102,"치킨 프랜차이즈 제너시스BBQ가 가맹점주 단체에서 활동한 점주들의 계약갱신을 거절한 것은 위법이라는 대법원 판단이 나왔습니다. 대법원은 제너시스BBQ가 가맹점사업자단체 활동을 위축시키려는 목적에서 계약 갱신을 거절하고 불이익을 제공한 것으로 판단했습니다. 이에 대법원은 과징금 부과를 취소하고, 불이익 제공 행위에 대해 재심을 요구했습니다."
"[오후날씨 꿀팁] 중부에 비, 남부는 소나기…전국 대부분 폭염경보",2024.08.08. 오후 12:34,103,"충남경찰이 유명 연예인 얼굴을 도용해 불법 도박사이트를 운영한 일당 11명을 검거했습니다. 이들은 유튜브를 통해 도박 해설 영상을 방송하고 도박자들을 유인한 혐의로 3명을 구속했는데, 총 4520명의 도박자를 모집한 것으로 밝혀졌습니다. 경찰은 불법 도박사이트를 통해 3800억 상당의 도금을 받았으며, 청소년 도박자 24명에 대해서는 치유를 위해 조사 중이라고 합니다. 도경찰청은 하반기 불법 사이버도박 특별단속을 실시할 예정이며, 도박광고에 대한 엄단을 약속했습니다."
