title,date,section_code,section_name,summary
김경수 복권에 엇갈린 野 반응…'친노·친문·비명' 새 구심점 될까,2024.08.09. 오후 12:58,100,정치,김경수 전 경남지사가 8·15 광복절 특별사면으로 복권이 유력하다는 관측이 나왔습니다. 김 전지사의 복권을 두고 친명계와 비명계의 의견 차이가 나타나고 있습니다.
"與, '채상병 특검법' 수용 불가…""野 정쟁 놓지 못해""",2024.08.09. 오후 4:10,100,정치,한동훈 대표가 제삼자 추천 방식의 채상병 특검법을 추진하며 국민의힘은 수용 어렵다고 밝혔습니다. 공수처 수사 결과에 따라 여당 주도로 특검법을 발의할 가능성이 높아 보입니다.
여야 '김경수 복권설'에 술렁…해병특검법 또 대치,2024.08.09. 오후 4:45,100,정치,"다가오는 광복절 특사 명단을 예의주시하는 정치권, 김경수 전 경남지사의 복권설로 민주당은 촉각을 곤두세우고 있습니다. 국회에서는 해병대원 특검법을 놓고 여야 대치가 심화되고 있습니다."
"軍 ""북한 신형 전술탄도탄 발사대 250대, 전방 배치 동향 없어""",2024.08.09. 오전 11:07,100,정치,"북한이 최전방에 신형 전술탄도미사일 발사대 250대를 배치했다고 주장했지만, 우리 군은 관련 동향을 포착하지 못했습니다. 발사대에 미사일을 채워넣는 데 상당기간이 걸릴 것으로 예상됩니다."
"이상민 유임·김문수 발탁…위기의 尹, '집토끼' 잡고 '복지부동' 깰 수 있나",2024.08.09. 오후 4:00,100,정치,"윤석열 대통령의 인사는 예상을 벗어나며, 개각이 더딘 배경에는 공무원 사회의 복지부동과 인재풀의 좁음이 영향을 미치고 있습니다. 윤 대통령은 개혁을 위해 공격적인 장관을 필요로 하지만, 인사 지연과 보수 지지층 결집을 통해 지지율을 유지하려는 모습을 보이고 있습니다."
"장예찬 ""한동훈의 원죄, '제3자 채상병특검'..韓 이제라도 입장 선회해야""",2024.08.09. 오후 5:28,100,정치,YTN라디오에서는 채상병 특검 재발의에 대한 논의가 이뤄지고 있습니다. 김건희 여사의 이름이 특검법안에 등장하며 상징적인 의미를 지니고 있습니다. 이재명 대표와 윤석열 대통령의 영수회담은 예산안 통과를 위한 협조를 위해 가을 이후에 이루어질 것으로 전망됩니다.
진화하는 北 IT 범죄…‘노트북 공장’ 만들어 세금 내는 미국인 행세 위장 취업,2024.08.09. 오후 4:14,100,정치,"미국에서 북한 IT 노동자를 미국 시민으로 위장시켜 취업을 도와 수익을 돈세탁하는 미국인이 검거됐습니다. 북한 노동자들은 미국과 영국 기업에 취업해 원격 근무를 하며 25만 달러 이상 벌었으며, 수익은 북한의 대량살상무기(WMD) 개발에 사용될 우려가 있습니다.러시아와 북한 간 교역이 활발해지고 있으며, 북·러 간 군사 기술 협력이 가속화될 조짐이 보입니다.북한은 러시아로부터 군수품을 지원받을 가능성이 있으며, 러시아는 북한에 첨단 무기 기술을 제공할 수 있다는 발언을 했습니다."
"""양심에 반하는 일 괴롭다"" 김건희 명품백 담당 국장 사망 파문",2024.08.09. 오후 5:08,100,정치,"김건희 여사 명품백 사건을 담당한 국민권익위 김 국장이 사망하면서 사건 종결 과정을 조사해야 한다는 비판이 나오고 있습니다. 권익위의 결정에 대한 의문이 제기되며, 공직자들의 업무 처리에 대한 강력한 반성이 요구되고 있습니다."
"전진건설로봇, 일반 청약 증거금 8조2800억원… 경쟁률 1087대 1",2024.08.09. 오후 5:11,101,경제,전진건설로봇이 코스피 상장을 앞두고 일반 투자자 청약에 8조원이 몰렸습니다. 국내 최대 콘크리트 펌프카 제조 업체인 전진건설로봇은 해외 사업 확장으로 기관 투자자 수요를 끌어들였습니다.
"돌아오는 김경수, 친노·친문 구심점 되나…말 아끼는 이재명",2024.08.09. 오후 4:14,100,정치,"문재인 정부 출신 인사들이 김경수 전 경남지사의 복권에 대한 환영 메시지를 전하며, 김 전 지사의 차기 대선 출마 가능성에 대한 기대감이 높아지고 있습니다. 민주주의 4.0도 재건 준비에 나서며, 김 전 지사의 복권과 관련한 다양한 정치적 해석이 나오고 있습니다."
