title,date,section,summary
"유시민, 삼부토건·세관마약 의혹에 “문명에서 야만으로”",2024.08.08. 오후 12:58,100,"이재명 더불어민주당 전 대표가 인스타그램에 사격 선수 콘셉트의 사진을 공개했습니다. 이에 대해 국민의힘 의원이 비판을 했지만, 민주당은 전당대회에서 당 대표와 최고위원을 선출하기 위한 경선을 진행 중입니다. 이 후보의 연임이 사실상 결정될 것으로 보입니다."
"정유라 ""난 6개월 만에 중졸됐는데…조국 아들은 2년 걸려""",2024.08.08. 오후 1:05,100,"더불어민주당이 '채상병 특검법'을 세번째로 발의했습니다. 국민의힘은 이를 비판하며, 특검법에 추가된 의혹들을 지적했습니다. 특검 추천권은 민주당 1명, 비교섭단체 1명으로 정해졌고, 국민의힘 대표가 제안한 제3자 추천안은 반영되지 않았습니다. 이에 대해 김종혁 최고위원은 당내 반대 의원들이 많다며 민주당의 의도를 비판했습니다."
"與김상훈 ""영수회담 전 여야 대표 회담 먼저…금투세 폐지는 당론""",2024.08.08. 오전 11:11,100,"한동훈 국민의힘 대표가 금융투자소득세 폐지를 주장하며 더불어민주당의 프레임을 비판했습니다. 금투세는 2025년 1월 시행 예정이며, 부자들에 대한 세금이라는 주장에 대해 사모펀드를 예시로 들어 반박했습니다. 또한, 취약계층에 전기요금 1만5000원 추가 지원을 발표했으며, 이에 대한 이견을 보인 추경호 원내대표는 최고위원회의에 불참했습니다."
"민주당 '채상병 특검법' 또 발의…장동혁 ""더 허접한 법안"" 비난",2024.08.08. 오후 1:38,100,김상훈 국민의힘 의원은 더불어민주당 대표 직무대행 겸 원내대표의 영수회담 제안에 대해 여야 당 대표 회담이 선행돼야 한다고 말했습니다. 민주당이 거부권 행사 중단을 요구한 것에 대해 국민들에게 폐를 끼치는 법안이 통과된다면 거부권을 행사해야 한다고 강조했습니다. 또한 금투세 폐지는 국내 주식시장을 견인할 수 있는 큰 시그널이라며 부자 감세 논리를 부정하고 협의를 통해 폐지하는 것이 맞다고 밝혔습니다.
"김홍걸 ""DJ 사저 문화재 지정 노력했지만 안돼…민간 기념관 될 것""",2024.08.08. 오전 10:42,100,"김대중 전 대통령의 3남 김홍걸 전 의원이 동교동 사저 매각 논란에 대해 입장을 밝혔습니다. 김 전 의원은 DJ 사저를 문화재로 지정하려 했지만 실패하고, 민간 기념관으로 만들기로 결정했다고 설명했습니다. 이에 따라 사저가 자동 상속되어 상속세가 부과되었고, 국세청이 근저당을 걸었다는 이유로 매각이 이뤄졌습니다. DJ 사저를 매입한 업체 대표에 대한 비난에 대해 김 전 의원은 민간 기념관으로 보존할 것이라고 밝혔으며, 정치권에서 여러 대책이 나오는 가운데 김 전 의원은 해결책을 찾기 위해 노력하고 있다고 전했습니다."
"한동훈, 이번엔 ""금투세는 부자세금 아니다""…연일 폐지론 부채질",2024.08.08. 오전 11:58,100,"여야 원내수석부대표들이 간호법과 구하라법 등 민생 법안을 조속히 처리하기로 합의했지만, 여야정 협의체 구성에 대한 의견 차가 커져 결론을 내리지 못했습니다. 국민의힘은 조건 없이 협의체를 구성해 법안 처리에 속도를 내야 한다는 입장이지만, 민주당은 영수회담을 우선시하며 의견을 나누고 있습니다. 특히 '전 국민 25만원 지원법'을 두고도 양측이 대립하며 협치의 길은 여전히 험난한 상황입니다."
"이재명, 권총 들고 ""출격 준비 완료""…진종오 ""표적은 어디?""",2024.08.08. 오후 12:23,100,"한국경제인협회가 고려대 교수에게 의뢰한 보고서에 따르면, 국회에서 통과된 노조법 개정안이 위헌 소지가 있다는 주장이 나왔습니다. 이에 따라 개정안은 사용자의 범위를 너무 확대시켜 노조의 불법행위를 사실상 정당화할 우려가 있다고 지적했습니다. 또한, 사용자의 독립성과 경영권이 침해될 수 있고, 노사관계 질서가 훼손될 수 있다는 우려가 제기되었습니다. 이에 대해 보고서는 개정안이 노조의 활동에 제한을 두어 헌법상 명확성 원칙에 위배된다고 지적했습니다. 이에 대한 부정적 파급효과를 고려해 법안 입법을 재고해야 한다고 주장했습니다."
유상임 청문회 ‘자료부족 야당 지적’ 에 시작부터 잡음,2024.08.08. 오후 12:03,100,"금융감독원 이복현 원장은 자산운용사 CEO 간담회에서 두산그룹의 밸류업 행보에 대해 정정신고서 부족 시 무제한 정정 요구를 약속했습니다. 또한, 밸류업 정책에 적극 참여를 촉구하며 소액주주 이익 보호 실패 사례에 대해 언급했습니다. 또한, 좀비기업의 거래소 퇴출 기준을 엄격화하고 CEO와 대주주 소통을 강조했습니다. 금투세 문제와 주가 급락에 대해 정책 수단을 준비 중이며, 미국 ATS 블루오션 주식 체결 취소 사례에 대해 기술적 확인이 필요하다고 밝혔습니다."
"여야, 8월 국회서 비쟁점 법안 처리 합의…여야정 협의체는 이견",2024.08.08. 오후 1:34,100,"워런 버핏이 최근의 일본 시장 혼란을 틈타 일본 주식 추가 매수에 나설 수 있다는 전망이 나왔습니다. 버핏은 현재 일본 주식 가치평가를 기회로 보고 있으며, 손실을 보이던 주식은 반등세로 손실이 조금 줄어든 상태입니다. 버크셔는 엔화를 차입해 일본 무역 회사들의 지분을 보유하고 있으며, 미네오 비토 비토 파이낸셜 서비스 CEO는 버핏이 주식을 더 저렴히 살 수 있는 큰 할인 기회로 보고 있다고 전했습니다."
"[일문일답]이복현 ""두산, 정정신고서 부족시 횟수 제한없이 정정요구""",2024.08.08. 오후 1:45,101,"일본의 엔 캐리 트레이드가 금융시장에 불안을 불러일으키고 있습니다. 이는 일본이 낮은 금리로 돈을 빌려 미국 등 고수익 자산에 투자해 수익을 노리는 방식으로, 최근 몇 년간 대규모로 확대되었습니다. 이에 따라 엔화 대출을 갚기 위한 투자 청산이 이뤄지고 있으며, 금융시장에 혼란을 야기할 우려가 있습니다.환율 변동에 따라 위험성이 높아진 엔 캐리 트레이드는 일본의 금리 인상으로 더욱 불안정해질 수 있습니다."
